gene	category	ancestry	n_haplotypes	S_obs	Q1_uniques	Q2_duplicates	chao2	chao2_ci_lo	chao2_ci_hi	ace	jackknife1	jackknife2	pct_discovered	pct_discovered_ci_lo	pct_discovered_ci_hi	low_confidence_chao2	chao2_ci_widened
HLA-A	all	AFR	5948	357	254	22	1823.03	311.65	1823.03	1650.29	610.96	842.88	19.6	19.6	100.0	False	True
HLA-A	all	AMR	5341	326	207	20	1397.02	281.35	1397.02	998.71	532.96	719.89	23.3	23.3	100.0	False	True
HLA-A	all	EAS	2884	191	127	12	862.81	162.94	862.81	624.47	317.96	432.88	22.1	22.1	100.0	False	True
HLA-A	all	EUR	5943	330	235	24	1480.33	285.27	1480.33	1411.7	564.96	775.89	22.3	22.3	100.0	False	True
HLA-A	all	MID	959	107	61	8	339.32	87.62	339.32	283.32	167.94	220.83	31.5	31.5	100.0	False	True
HLA-A	all	SAS	2451	146	84	10	498.66	121.75	498.66	379.96	229.97	303.91	29.3	29.3	100.0	False	True
HLA-A	all	POOLED	23571	1015	774	47	7387.88	924.61	7387.88	5643.51	1788.97	2515.91	13.7	13.7	100.0	False	True
HLA-A	known	AFR	5553	122	46	16	188.11	103.2	188.11	194.15	167.99	197.98	64.9	64.9	100.0	False	True
HLA-A	known	AMR	5057	155	65	15	295.81	133.46	295.81	273.09	219.99	269.97	52.4	52.4	100.0	False	True
HLA-A	known	EAS	2715	83	32	8	146.98	69.82	146.98	124.39	114.99	138.97	56.5	56.5	100.0	False	True
HLA-A	known	EUR	5592	118	47	17	182.96	101.26	182.96	192.29	164.99	194.98	64.5	64.5	100.0	False	True
HLA-A	known	MID	913	67	27	4	158.03	55.02	158.03	115.6	93.97	116.92	42.4	42.4	100.0	False	True
HLA-A	known	SAS	2322	68	21	5	112.08	58.47	112.08	94.94	88.99	104.98	60.7	60.7	100.0	False	True
HLA-A	known	POOLED	22197	297	122	30	545.06	263.73	545.06	496.31	418.99	510.99	54.5	54.5	100.0	False	True
HLA-A	novel	AFR	414	235	208	6	3831.62	194.78	3831.62	2784.26	442.5	643.54	6.1	6.1	100.0	False	True
HLA-A	novel	AMR	307	171	142	5	2180.83	140.07	2180.83	980.78	312.54	448.66	7.8	7.8	100.0	False	True
HLA-A	novel	EAS	171	108	95	4	1229.53	83.25	1229.53	1093.82	202.44	292.4	8.8	8.8	100.0	False	True
HLA-A	novel	EUR	375	212	188	7	2729.84	177.15	2729.84	2279.19	399.5	579.55	7.8	7.8	100.0	False	True
HLA-A	novel	MID	49	40	34	4	181.55	27.97	181.55	180.03	73.31	102.16	22.0	22.0	100.0	False	True
HLA-A	novel	SAS	131	78	63	5	471.87	59.99	471.87	403.87	140.52	197.67	16.5	16.5	100.0	False	True
HLA-A	novel	POOLED	1447	718	652	17	13212.42	646.63	13212.42	10130.14	1369.55	2003.68	5.4	5.4	100.0	False	True
HLA-B	all	AFR	6001	521	322	46	1647.81	466.53	1647.81	1580.15	842.95	1118.86	31.6	31.6	100.0	False	True
HLA-B	all	AMR	5354	511	277	45	1363.39	456.9	1363.39	1224.36	787.95	1019.87	37.5	37.5	100.0	False	True
HLA-B	all	EAS	2876	312	163	32	727.0	274.52	727.0	718.76	474.94	605.86	42.9	42.9	100.0	False	True
HLA-B	all	EUR	5935	473	301	37	1697.13	421.57	1697.13	1638.62	773.95	1037.87	27.9	27.9	100.0	False	True
HLA-B	all	MID	969	174	78	23	306.12	148.8	306.12	287.91	251.92	306.83	56.8	56.8	100.0	False	True
HLA-B	all	SAS	2449	251	138	26	617.08	217.81	617.08	641.76	388.94	500.86	40.7	40.7	100.0	False	True
HLA-B	all	POOLED	23630	1431	984	99	6320.97	1314.77	6320.97	6168.59	2414.96	3299.89	22.6	22.6	100.0	False	True
HLA-B	known	AFR	5141	227	75	36	305.11	203.35	305.11	322.27	301.99	340.98	74.4	74.4	100.0	False	True
HLA-B	known	AMR	4662	262	85	28	390.99	235.39	390.99	370.75	346.98	403.96	67.0	67.0	100.0	False	True
HLA-B	known	EAS	2501	156	46	18	214.75	139.34	214.75	211.94	201.98	229.97	72.6	72.6	100.0	False	True
HLA-B	known	EUR	5304	225	95	26	398.52	196.53	398.52	392.64	319.98	388.96	56.5	56.5	100.0	False	True
HLA-B	known	MID	848	110	33	18	140.21	96.59	140.21	144.03	142.96	157.95	78.5	78.5	100.0	False	True
HLA-B	known	SAS	2129	135	50	20	197.47	116.6	197.47	220.34	184.98	214.96	68.4	68.4	100.0	False	True
HLA-B	known	POOLED	20625	502	166	61	727.86	463.1	727.86	721.75	667.99	772.98	69.0	69.0	100.0	False	True
HLA-B	novel	AFR	896	294	247	10	3341.05	249.91	3341.05	2560.55	540.72	777.21	8.8	8.8	100.0	False	True
HLA-B	novel	AMR	728	249	192	17	1331.75	210.62	1331.75	1354.37	440.74	615.28	18.7	18.7	100.0	False	True
HLA-B	novel	EAS	391	156	117	14	643.64	126.21	643.64	770.61	272.7	375.21	24.2	24.2	100.0	False	True
HLA-B	novel	EUR	662	248	206	11	2174.0	210.6	2174.0	2333.22	453.69	648.12	11.4	11.4	100.0	False	True
HLA-B	novel	MID	123	64	45	5	264.85	47.98	264.85	173.14	108.63	148.02	24.2	24.2	100.0	False	True
HLA-B	novel	SAS	327	116	88	6	759.36	92.5	759.36	578.37	203.73	285.25	15.3	15.3	100.0	False	True
HLA-B	novel	POOLED	3133	929	818	38	9730.45	836.98	9730.45	13093.78	1746.74	2526.25	9.5	9.5	100.0	False	True
HLA-C	all	AFR	6013	408	285	24	2099.91	357.86	2099.91	2160.68	692.95	953.87	19.4	19.4	100.0	False	True
HLA-C	all	AMR	5357	418	280	24	2051.03	370.22	2051.03	1644.64	697.95	953.86	20.4	20.4	100.0	False	True
HLA-C	all	EAS	2874	267	168	23	880.35	231.49	880.35	810.47	434.94	579.85	30.3	30.3	100.0	False	True
HLA-C	all	EUR	5922	401	284	24	2081.05	352.97	2081.05	1987.09	684.95	944.87	19.3	19.3	100.0	False	True
HLA-C	all	MID	953	127	65	8	390.79	106.9	390.79	262.05	191.93	248.82	32.5	32.5	100.0	False	True
HLA-C	all	SAS	2442	212	130	19	656.55	180.12	656.55	649.21	341.95	452.86	32.3	32.3	100.0	False	True
HLA-C	all	POOLED	23605	1303	1036	57	10717.48	1192.18	10717.48	9376.37	2338.96	3317.88	12.2	12.2	100.0	False	True
HLA-C	known	AFR	5323	154	61	18	257.34	133.5	257.34	282.41	214.99	257.98	59.8	59.8	100.0	False	True
HLA-C	known	AMR	4818	163	62	12	323.13	141.89	323.13	265.16	224.99	274.97	50.4	50.4	100.0	False	True
HLA-C	known	EAS	2518	114	36	18	149.99	99.11	149.99	154.7	149.99	167.98	76.0	76.0	100.0	False	True
HLA-C	known	EUR	5400	150	58	21	230.08	130.59	230.08	257.82	207.99	244.98	65.2	65.2	100.0	False	True
HLA-C	known	MID	859	75	27	5	147.82	62.56	147.82	112.99	101.97	123.92	50.7	50.7	100.0	False	True
HLA-C	known	SAS	2167	100	34	16	136.11	85.64	136.11	146.88	133.98	151.98	73.5	73.5	100.0	False	True
HLA-C	known	POOLED	21124	354	149	35	671.14	317.24	671.14	608.11	502.99	616.98	52.7	52.7	100.0	False	True
HLA-C	novel	AFR	716	254	224	6	4429.49	211.93	4429.49	3784.32	477.69	695.09	5.7	5.7	100.0	False	True
